Date,HAG_Price,Mở,Cao,Thấp,KL,% Thay đổi,SP500_Price,VNINDEX_Price,Agriculture_Industry_Index
2025-03-13,12350.0,"12,700.0","12,700.0","12,350.0",4.20M,-2.76%,5521.52,1326.27,24325.44546436285
2025-03-12,12700.0,"12,500.0","12,950.0","12,500.0",7.91M,1.60%,5599.3,1334.41,24733.61231101512
2025-03-11,12500.0,"12,450.0","12,550.0","12,300.0",2.96M,-0.40%,5572.07,1332.54,24791.57667386609
2025-03-10,12550.0,"12,550.0","12,600.0","12,400.0",3.94M,0.00%,5614.56,1330.28,24738.66090712743
2025-03-07,12550.0,"12,600.0","12,700.0","12,450.0",4.68M,0.00%,5770.2,1326.05,25148.54211663067
2025-03-06,12550.0,"12,500.0","12,600.0","12,350.0",4.91M,0.40%,5738.52,1318.22,25147.36771058316
2025-03-05,12500.0,"12,700.0","12,750.0","12,400.0",3.73M,-1.19%,5842.63,1304.71,24842.38660907128
2025-03-04,12650.0,"12,650.0","12,800.0","12,500.0",10.58M,-0.39%,5778.15,1311.91,25002.34881209503
2025-03-03,12700.0,"13,000.0","13,100.0","12,650.0",8.97M,-2.31%,5849.72,1309.37,24629.58963282937
2025-02-28,13000.0,"13,250.0","13,250.0","12,850.0",5.14M,-1.89%,5954.5,1305.36,24575.431965442764
2025-02-27,13250.0,"12,800.0","13,300.0","12,650.0",14.31M,4.33%,5861.57,1307.8,24682.30291576674
2025-02-26,12700.0,"13,000.0","13,150.0","12,650.0",9.17M,-2.31%,5956.06,1302.96,23845.221382289412
2025-02-25,13000.0,"13,150.0","13,200.0","12,850.0",6.24M,0.00%,5955.25,1303.16,23900.52645788337
2025-02-24,13000.0,"13,000.0","13,200.0","12,800.0",8.86M,0.39%,5983.25,1304.56,23975.10799136069
2025-02-21,12950.0,"12,700.0","12,950.0","12,550.0",8.03M,1.57%,6013.13,1296.75,23659.044276457887
2025-02-20,12750.0,"12,750.0","12,850.0","12,600.0",5.81M,0.00%,6117.52,1292.98,23381.80345572354
2025-02-19,12750.0,"12,600.0","12,800.0","12,600.0",5.40M,1.19%,6144.15,1288.56,23297.54319654428
2025-02-18,12600.0,"12,500.0","12,850.0","12,450.0",6.83M,1.20%,6129.58,1278.14,22822.74568034557
2025-02-17,12450.0,"12,450.0","12,750.0","12,400.0",4.96M,0.40%,6114.63,1272.72,22782.08693304536
2025-02-14,12400.0,"12,450.0","12,550.0","12,300.0",2.94M,0.00%,6114.63,1276.08,22599.95950323974
2025-02-13,12400.0,"12,300.0","12,450.0","12,250.0",3.57M,0.81%,6115.07,1270.35,22459.80021598272
2025-02-12,12300.0,"12,550.0","12,550.0","12,300.0",2.61M,-1.99%,6051.97,1266.91,22281.81695464363
2025-02-11,12550.0,"12,450.0","12,600.0","12,350.0",5.00M,0.80%,6068.5,1268.45,22482.28941684665
2025-02-10,12450.0,"12,300.0","12,550.0","12,200.0",8.51M,1.22%,6066.44,1263.26,21835.11069114471
2025-02-07,12300.0,"12,100.0","12,350.0","12,000.0",7.41M,2.50%,6025.99,1275.2,21860.758639308857
2025-02-06,12000.0,"12,000.0","12,300.0","12,000.0",7.39M,0.00%,6083.57,1271.48,21768.088552915768
2025-02-05,12000.0,"11,950.0","12,150.0","11,900.0",5.14M,0.84%,6061.48,1269.61,21847.84017278618
2025-02-04,11900.0,"11,800.0","12,050.0","11,750.0",3.72M,0.42%,6037.88,1264.68,21887.08153347732
2025-02-03,11850.0,"11,800.0","11,900.0","11,600.0",7.79M,-2.87%,5994.57,1253.03,21502.36231101512
2025-01-24,12200.0,"12,250.0","12,300.0","12,100.0",3.64M,0.00%,6101.24,1265.05,21303.010259179264
2025-01-23,12200.0,"12,150.0","12,250.0","12,050.0",3.44M,0.83%,6118.71,1259.63,21313.35043196544
2025-01-22,12100.0,"12,000.0","12,300.0","12,000.0",5.37M,1.26%,6086.37,1242.53,21036.91954643628
